seed,nulleff,cens,var,est,lower,upper
4,1,3,"Pr(N+ | Infec., mAb)",0.49609375,0.4353588859263457,0.5569441129519814
4,1,3,"Pr(N+ | sympt., Plac.)",0.8465753424657534,0.8060093507966911,0.8799222166819842
4,1,3,"Pr(N+ | sympt., mAb)",0.5212765957446809,0.42145414630705824,0.6194283185315995
4,1,3,"Pr(N+ | asympt., Plac.)",0.7016806722689075,0.6407257550306162,0.7562285160365965
4,1,3,"Pr(N+ | asympt., mAb)",0.48148148148148145,0.40586373367311274,0.557957134506254
4,1,3,PE for infec.,0.5754560530679933,0.5276689098399033,0.6197430017384284
4,1,3,PE for sympt. infec.,0.7424657534246575,0.6847679848468189,0.7903748352991055
4,1,3,PE for asympt. infec.,0.31932773109243695,0.190641844328043,0.42823202366350455
4,1,3,RR for sympt. | infec.,0.6066138698630137,0.5072749606179893,0.7168398057676866
4,1,3,RR for N+ | infec.,0.6284548975840336,0.5483202004422821,0.7112053462546406
4,1,3,RR for N+ | sympt.,0.6157474351029403,0.4958485858615407,0.736476083097788
4,1,3,RR for N+ | asympt.,0.6861831891772011,0.5687792880780569,0.8156495075512255
5,1,3,Pr(Infec. | Plac.),0.75,0.7188475333333801,0.7787630285637819
5,1,3,Pr(Infec. | mAb),0.32,0.28860150272687257,0.3531188927071709
5,1,3,Pr(Sympt. | Plac.),0.45625,0.42202630515858014,0.49089184650941664
5,1,3,Pr(Sympt. | mAb),0.1225,0.10156740699738123,0.1470406445379042
5,1,3,Pr(Asympt. | Plac.),0.29375,0.26323323647796604,0.3262380499568754
5,1,3,Pr(Asympt. | mAb),0.1975,0.1713863684253791,0.22650485167905496
5,1,3,"Pr(Sympt. | Infec., Plac.)",0.6083333333333333,0.568705240514882,0.646583057598816
5,1,3,"Pr(Sympt. | Infec., mAb)",0.3828125,0.3254185065983358,0.4436714597514778
5,1,3,"Pr(Asympt. | Infec., Plac.)",0.39166666666666666,0.353416942401184,0.4312947594851179
5,1,3,"Pr(Asympt. | Infec., mAb)",0.6171875,0.5563285402485223,0.6745814934016642
5,1,3,"Pr(N+ | Infec., Plac.)",0.7866666666666666,0.7521174440924547,0.8175685139930234
5,1,3,"Pr(N+ | Infec., mAb)",0.484375,0.4238408093138977,0.5453711861994107
5,1,3,"Pr(N+ | sympt., Plac.)",0.8438356164383561,0.8030353361683026,0.8774738473777349
5,1,3,"Pr(N+ | sympt., mAb)",0.6632653061224489,0.5651152259128324,0.7490986548637616
5,1,3,"Pr(N+ | asympt., Plac.)",0.6978723404255319,0.6363689392434875,0.7530106955117082
5,1,3,"Pr(N+ | asympt., mAb)",0.37341772151898733,0.3018388332817143,0.4510057079658012
5,1,3,PE for infec.,0.5733333333333333,0.5252321467919224,0.617893923162588
5,1,3,PE for sympt. infec.,0.7315068493150685,0.6726809960555508,0.7804964623707267
5,1,3,PE for asympt. infec.,0.32765957446808514,0.19872565502739137,0.4365321822974967
5,1,3,RR for sympt. | infec.,0.6292808219178083,0.5288721098775485,0.7400270418981937
5,1,3,RR for N+ | infec.,0.6157309322033898,0.5356540307898583,0.6988094336477662
5,1,3,RR for N+ | sympt.,0.7860124569308242,0.6662982956017961,0.8963557109033679
5,1,3,RR for N+ | asympt.,0.5350802716887928,0.4262941120954653,0.6597470125356988
6,1,3,Pr(Infec. | Plac.),0.71875,0.6866058238180275,0.7488034178419892
6,1,3,Pr(Infec. | mAb),0.31625,0.2849701355337735,0.3492861014718125
6,1,3,Pr(Sympt. | Plac.),0.4175,0.38380102828101387,0.45198748629292274
6,1,3,Pr(Sympt. | mAb),0.1275,0.10615462646977454,0.15240563630345416
6,1,3,Pr(Asympt. | Plac.),0.30125,0.27046893185844173,0.3339306714333146
6,1,3,Pr(Asympt. | mAb),0.18875,0.16314553739660317,0.21732931304143022
6,1,3,"Pr(Sympt. | Infec., Plac.)",0.5808695652173913,0.5401333550564497,0.6205323999319267
6,1,3,"Pr(Sympt. | Infec., mAb)",0.4031620553359684,0.3446022845450819,0.4646185467607866
6,1,3,"Pr(Asympt. | Infec., Plac.)",0.4191304347826087,0.3794676000680733,0.45986664494355034
6,1,3,"Pr(Asympt. | Infec., mAb)",0.5968379446640316,0.5353814532392133,0.6553977154549181
6,1,3,"Pr(N+ | Infec., Plac.)",0.8139130434782609,0.7800573130342083,0.8436022305228226
6,1,3,"Pr(N+ | Infec., mAb)",0.45849802371541504,0.3981781371732549,0.5200593619578315
6,1,3,"Pr(N+ | sympt., Plac.)",0.8592814371257484,0.8178922268595125,0.8925001590772813
6,1,3,"Pr(N+ | sympt., mAb)",0.5588235294117647,0.46207044834280186,0.6513066737576143
6,1,3,"Pr(N+ | asympt., Plac.)",0.7510373443983402,0.6927925600105828,0.8014047895020768
6,1,3,"Pr(N+ | asympt., mAb)",0.39072847682119205,0.3165409622035034,0.4703378217388909
6,1,3,PE for infec.,0.56,0.5093370115090176,0.606741352008352
6,1,3,PE for sympt. infec.,0.6946107784431137,0.6281574461162689,0.7499677445802868
6,1,3,PE for asympt. infec.,0.37344398340248963,0.25185791239916155,0.4760132295658235
6,1,3,RR for sympt. | infec.,0.6940664126292869,0.5851985994070303,0.8140400567505492
6,1,3,RR for N+ | infec.,0.5633255633255634,0.4868398039733371,0.6432106393896264
6,1,3,RR for N+ | sympt.,0.6503381840541095,0.5354397342674335,0.7635593225650944
6,1,3,RR for N+ | asympt.,0.5202517288061176,0.4168595844088852,0.6363545730556349
7,1,3,Pr(Infec. | Plac.),0.7375,0.7059273962307174,0.7668026375715865
7,1,3,Pr(Infec. | mAb),0.31375,0.2825505575484485,0.3467295738381658
7,1,3,Pr(Sympt. | Plac.),0.43125,0.3973405668119593,0.4658165286663213
7,1,3,Pr(Sympt. | mAb),0.1175,0.09699227852766015,0.14166356176968203
7,1,3,Pr(Asympt. | Plac.),0.30625,0.27529830034216074,0.3390535141875388
7,1,3,Pr(Asympt. | mAb),0.19625,0.17020780955979448,0.22519535773515378
7,1,3,"Pr(Sympt. | Infec., Plac.)",0.5847457627118644,0.5445610882455577,0.6238340254916835
7,1,3,"Pr(Sympt. | Infec., mAb)",0.3745019920318725,0.31694083809146606,0.43584663890878667
7,1,3,"Pr(Asympt. | Infec., Plac.)",0.4152542372881356,0.37616597450831646,0.4554389117544424
7,1,3,"Pr(Asympt. | Infec., mAb)",0.6254980079681275,0.5641533610912134,0.683059161908534
7,1,3,"Pr(N+ | Infec., Plac.)",0.764406779661017,0.7285219605724811,0.7968707942877115
7,1,3,"Pr(N+ | Infec., mAb)",0.46215139442231074,0.4015074544145844,0.523936387855333
7,1,3,"Pr(N+ | sympt., Plac.)",0.8028985507246377,0.757684508297808,0.8414415265105339
7,1,3,"Pr(N+ | sympt., mAb)",0.5638297872340425,0.4630290566620046,0.6596183378539684
7,1,3,"Pr(N+ | asympt., Plac.)",0.710204081632653,0.650498816740086,0.7634193482157702
7,1,3,"Pr(N+ | asympt., mAb)",0.4012738853503185,0.32784494751489784,0.4794186757617428
7,1,3,PE for infec.,0.5745762711864407,0.5257301715163489,0.6197067317723575
7,1,3,PE for sympt. infec.,0.727536231884058,0.6659757269025868,0.7785375690495037
7,1,3,PE for asympt. infec.,0.35918367346938773,0.23746427053657215,0.46220793148855865
7,1,3,RR for sympt. | infec.,0.6404526820255211,0.5353152458714051,0.7572617523309173
7,1,3,RR for N+ | infec.,0.6045882986899408,0.5219059233995563,0.691364803269931
7,1,3,RR for N+ | sympt.,0.7022428757969121,0.5732511727115778,0.8300431026082931
7,1,3,RR for N+ | asympt.,0.5650120799472875,0.455370220489478,0.6885974567935983
8,1,3,Pr(Infec. | Plac.),0.70625,0.6737619500431247,0.7367667635220341
8,1,3,Pr(Infec. | mAb),0.32625,0.29465906038797274,0.3595015990934997
8,1,3,Pr(Sympt. | Plac.),0.395,0.36170409381987934,0.42929947018331277
8,1,3,Pr(Sympt. | mAb),0.12125,0.10042246658182123,0.14569753214397838
8,1,3,Pr(Asympt. | Plac.),0.31125,0.28013205431357485,0.34417197145406797
8,1,3,Pr(Asympt. | mAb),0.205,0.17846652606342525,0.23435301089792362
8,1,3,"Pr(Sympt. | Infec., Plac.)",0.5592920353982301,0.5180908782487493,0.5996923792144154
8,1,3,"Pr(Sympt. | Infec., mAb)",0.3716475095785441,0.3152795409197863,0.4317389194891594
8,1,3,"Pr(Asympt. | Infec., Plac.)",0.4407079646017699,0.4003076207855846,0.48190912175125067
8,1,3,"Pr(Asympt. | Infec., mAb)",0.6283524904214559,0.5682610805108406,0.6847204590802137
8,1,3,"Pr(N+ | Infec., Plac.)",0.7734513274336283,0.737155835168898,0.8060535164149509
8,1,3,"Pr(N+ | Infec., mAb)",0.4674329501915709,0.4078135105857149,0.5279971435478981
8,1,3,"Pr(N+ | sympt., Plac.)",0.8164556962025317,0.7700604139084065,0.8552493903222006
8,1,3,"Pr(N+ | sympt., mAb)",0.5360824742268041,0.4373642074663673,0.6320516863719662
8,1,3,"Pr(N+ | asympt., Plac.)",0.7188755020080321,0.6600388698321298,0.7710613164600983
8,1,3,"Pr(N+ | asympt., mAb)",0.4268292682926829,0.35365662933457953,0.503351286536556
8,1,3,PE for infec.,0.5380530973451327,0.48562932871385855,0.5864490238578663
8,1,3,PE for sympt. infec.,0.6930379746835443,0.6238439646764953,0.7502654584996484
8,1,3,PE for asympt. infec.,0.3413654618473897,0.219154180921593,0.4451694613914402
8,1,3,RR for sympt. | infec.,0.6644963383287259,0.5555852637234913,0.7862739252067039
8,1,3,RR for N+ | infec.,0.6043469493323513,0.5238359027649674,0.6887161025578872
8,1,3,RR for N+ | sympt.,0.6565971389754655,0.5326035758103841,0.7817533059365152
8,1,3,RR for N+ | asympt.,0.593745741926693,0.48523273375398057,0.7144863556432238
9,1,3,Pr(Infec. | Plac.),0.7375,0.7059273962307174,0.7668026375715865
9,1,3,Pr(Infec. | mAb),0.3,0.26926228206818986,0.3326492684140806
9,1,3,Pr(Sympt. | Plac.),0.44625,0.41214149599914124,0.480872233192969
9,1,3,Pr(Sympt. | mAb),0.1225,0.10156740699738123,0.1470406445379042
9,1,3,Pr(Asympt. | Plac.),0.29125,0.26082359893032964,0.3236715818855402
9,1,3,Pr(Asympt. | mAb),0.1775,0.1525825157049412,0.2054998594477199
9,1,3,"Pr(Sympt. | Infec., Plac.)",0.6050847457627119,0.565082771658279,0.6437271693759
9,1,3,"Pr(Sympt. | Infec., mAb)",0.4083333333333333,0.3480669188526185,0.47148796647000063
9,1,3,"Pr(Asympt. | Infec., Plac.)",0.3949152542372881,0.3562728306240999,0.434917228341721
9,1,3,"Pr(Asympt. | Infec., mAb)",0.5916666666666667,0.5285120335299993,0.6519330811473816
9,1,3,"Pr(N+ | Infec., Plac.)",0.7711864406779662,0.7356009318000843,0.8032634321590876
9,1,3,"Pr(N+ | Infec., mAb)",0.525,0.4619261001374734,0.5872862038654487
9,1,3,"Pr(N+ | sympt., Plac.)",0.8403361344537815,0.7987459722692567,0.8746799716180538
9,1,3,"Pr(N+ | sympt., mAb)",0.6326530612244898,0.5338875533526599,0.7214112247783228
9,1,3,"Pr(N+ | asympt., Plac.)",0.6652360515021459,0.6023959984619014,0.7227160000176153
9,1,3,"Pr(N+ | asympt., mAb)",0.4507042253521127,0.37123963199849236,0.5327657165957479
9,1,3,PE for infec.,0.5932203389830508,0.5451235594431065,0.6375189840195647
9,1,3,PE for sympt. infec.,0.7254901960784313,0.6651407206070853,0.7757048088984246
9,1,3,PE for asympt. infec.,0.3905579399141631,0.26798618207658487,0.4933381671414184
9,1,3,RR for sympt. | infec.,0.6748366013071895,0.568427522665152,0.7913207906893432
9,1,3,RR for N+ | infec.,0.6807692307692308,0.5949954066796965,0.7687076959186826
9,1,3,RR for N+ | sympt.,0.7528571428571429,0.6320966906252571,0.8665552769765215
9,1,3,RR for N+ | asympt.,0.6775102226260791,0.5480693114238027,0.8228318209396958
10,1,3,Pr(Infec. | Plac.),0.73875,0.7072179685819036,0.7680001180298862
10,1,3,Pr(Infec. | mAb),0.3225,0.2910237379714875,0.35567276308152757
10,1,3,Pr(Sympt. | Plac.),0.44625,0.41214149599914124,0.480872233192969
10,1,3,Pr(Sympt. | mAb),0.10125,0.08221514969474321,0.12409600407928348
10,1,3,Pr(Asympt. | Plac.),0.2925,0.26202827518004834,0.32495495844530725
10,1,3,Pr(Asympt. | mAb),0.22125,0.19385638416341844,0.251307839321246
10,1,3,"Pr(Sympt. | Infec., Plac.)",0.6040609137055838,0.5640822899480529,0.6426954962604847
10,1,3,"Pr(Sympt. | Infec., mAb)",0.313953488372093,0.26040353590762927,0.37296239310768514
10,1,3,"Pr(Asympt. | Infec., Plac.)",0.39593908629441626,0.3573045037395154,0.43591771005194735
10,1,3,"Pr(Asympt. | Infec., mAb)",0.686046511627907,0.6270376068923149,0.7395964640923707
10,1,3,"Pr(N+ | Infec., Plac.)",0.8087986463620981,0.7751396822593632,0.8384691955139388
10,1,3,"Pr(N+ | Infec., mAb)",0.4806201550387597,0.42038750008739767,0.5414214508516976
10,1,3,"Pr(N+ | sympt., Plac.)",0.865546218487395,0.8262419149390103,0.897067432199212
10,1,3,"Pr(N+ | sympt., mAb)",0.6172839506172839,0.508412475472413,0.7155346402903537
10,1,3,"Pr(N+ | asympt., Plac.)",0.7222222222222222,0.6615969000521101,0.775669170025287
10,1,3,"Pr(N+ | asympt., mAb)",0.4180790960451977,0.3479095675976953,0.49172897442073765
10,1,3,PE for infec.,0.5634517766497462,0.5142558482919227,0.6089964930813381
10,1,3,PE for sympt. infec.,0.7731092436974789,0.71780644977945,0.8182280379463038
10,1,3,PE for asympt. infec.,0.2435897435897435,0.10496037530363189,0.36130983756553214
10,1,3,RR for sympt. | infec.,0.5197381278092632,0.42662717976399944,0.6254661351127321
10,1,3,RR for N+ | infec.,0.5942395640751192,0.5170999913589284,0.6741505367973138
10,1,3,RR for N+ | sympt.,0.7131727196452115,0.5852329406070488,0.8324514542212754
10,1,3,RR for N+ | asympt.,0.5788787483702738,0.4747113257614729,0.6956089277208091
11,1,3,Pr(Infec. | Plac.),0.745,0.7136756044368926,0.7739827462223262
11,1,3,Pr(Infec. | mAb),0.34375,0.3116545796664976,0.3773388191477762
11,1,3,Pr(Sympt. | Plac.),0.445,0.41090687750307575,0.4796187988795487
11,1,3,Pr(Sympt. | mAb),0.12625,0.10500672189306874,0.15106548807067413
11,1,3,Pr(Asympt. | Plac.),0.3,0.26926228206818986,0.3326492684140806
11,1,3,Pr(Asympt. | mAb),0.2175,0.19029907019656883,0.24740099485963818
11,1,3,"Pr(Sympt. | Infec., Plac.)",0.5973154362416108,0.5574395683506689,0.6359448639759319
11,1,3,"Pr(Sympt. | Infec., mAb)",0.36727272727272725,0.31249052166237773,0.42571196691755087
11,1,3,"Pr(Asympt. | Infec., Plac.)",0.40268456375838924,0.3640551360240681,0.4425604316493312
11,1,3,"Pr(Asympt. | Infec., mAb)",0.6327272727272727,0.574288033082449,0.6875094783376221
11,1,3,"Pr(N+ | Infec., Plac.)",0.7835570469798657,0.748734938614182,0.8147472866133271
11,1,3,"Pr(N+ | Infec., mAb)",0.4909090909090909,0.43235723532778675,0.5497114282735781
11,1,3,"Pr(N+ | sympt., Plac.)",0.8258426966292135,0.783025801119189,0.8617025766512103
11,1,3,"Pr(N+ | sympt., mAb)",0.5643564356435643,0.4670564676529854,0.6569402808302014
11,1,3,"Pr(N+ | asympt., Plac.)",0.7208333333333333,0.6609424090249535,0.7737662763341914
11,1,3,"Pr(N+ | asympt., mAb)",0.4482758620689655,0.3762933616398042,0.5224928937172878
11,1,3,PE for infec.,0.5385906040268456,0.48890095758127006,0.584816692285415
11,1,3,PE for sympt. infec.,0.7162921348314607,0.6548828943740297,0.7675348345959911
11,1,3,PE for asympt. infec.,0.275,0.142277829341674,0.38780491638001013
11,1,3,RR for sympt. | infec.,0.6148723186925433,0.516877463261547,0.7236689331285323
11,1,3,RR for N+ | infec.,0.6265135292972552,0.5483515438089667,0.7075639018139805
11,1,3,RR for N+ | sympt.,0.6833703778541118,0.5626158363250077,0.8025577906829213
11,1,3,RR for N+ | asympt.,0.6218855889974089,0.514256936791238,0.7411550588481609
12,1,3,Pr(Infec. | Plac.),0.7025,0.669914375270527,0.7331501798661743
12,1,3,Pr(Infec. | mAb),0.3125,0.2813411711525095,0.3454509074246191
12,1,3,Pr(Sympt. | Plac.),0.42125,0.3874909563053961,0.455761716696998
12,1,3,Pr(Sympt. | mAb),0.11375,0.09356926336901233,0.13762241849987242
12,1,3,Pr(Asympt. | Plac.),0.28125,0.2511965821580108,0.3133941761819726
12,1,3,Pr(Asympt. | mAb),0.19875,0.1725653514546645,0.22781392145925536
12,1,3,"Pr(Sympt. | Infec., Plac.)",0.599644128113879,0.5585908818522046,0.6393444200845362
12,1,3,"Pr(Sympt. | Infec., mAb)",0.364,0.30683266748143884,0.425283589981322
12,1,3,"Pr(Asympt. | Infec., Plac.)",0.400355871886121,0.3606555799154638,0.44140911814779527
12,1,3,"Pr(Asympt. | Infec., mAb)",0.636,0.574716410018678,0.6931673325185611
12,1,3,"Pr(N+ | Infec., Plac.)",0.7882562277580071,0.7525804538053621,0.8200180982259239
12,1,3,"Pr(N+ | Infec., mAb)",0.468,0.40709971631994324,0.5298688148477652
12,1,3,"Pr(N+ | sympt., Plac.)",0.8545994065281899,0.8129672932091766,0.8882384838900533
12,1,3,"Pr(N+ | sympt., mAb)",0.5934065934065934,0.49069436047008386,0.6885521442904551
12,1,3,"Pr(N+ | asympt., Plac.)",0.6888888888888889,0.6256534297780915,0.7457827620642298
12,1,3,"Pr(N+ | asympt., mAb)",0.39622641509433965,0.323511326300329,0.4738375783398799
12,1,3,PE for infec.,0.5551601423487544,0.5031734036599779,0.6030009663410347
12,1,3,PE for sympt. infec.,0.7299703264094956,0.6676234063439295,0.7813556856767779
12,1,3,PE for asympt. infec.,0.29333333333333333,0.15638869008749445,0.40867577443887737
12,1,3,RR for sympt. | infec.,0.6070267062314539,0.505581104003155,0.7201629547163774
12,1,3,RR for N+ | infec.,0.5937155756207676,0.5134195867641292,0.6776367568039661
12,1,3,RR for N+ | sympt.,0.6943681318681318,0.5716750607105908,0.8120863879215645
12,1,3,RR for N+ | asympt.,0.5751673767498479,0.46199270310573726,0.7042923619387497
13,1,3,Pr(Infec. | Plac.),0.73625,0.7046371387277293,0.7656048422650887
13,1,3,Pr(Infec. | mAb),0.33,0.29829672754760284,0.36332809036232716
13,1,3,Pr(Sympt. | Plac.),0.44,0.4059705947848999,0.4746028703597813
13,1,3,Pr(Sympt. | mAb),0.11625,0.09585046185745173,0.1403173256304047
13,1,3,Pr(Asympt. | Plac.),0.29625,0.26564400999474935,0.32880338205906373
13,1,3,Pr(Asympt. | mAb),0.21375,0.18674518976163518,0.2434907168661144
13,1,3,"Pr(Sympt. | Infec., Plac.)",0.597623089983022,0.5575116421358258,0.6364693932471633
13,1,3,"Pr(Sympt. | Infec., mAb)",0.3522727272727273,0.29714582869094475,0.41163711946266074
13,1,3,"Pr(Asympt. | Infec., Plac.)",0.40237691001697795,0.3635306067528366,0.44248835786417423
13,1,3,"Pr(Asympt. | Infec., mAb)",0.6477272727272727,0.5883628805373392,0.7028541713090551
13,1,3,"Pr(N+ | Infec., Plac.)",0.7775891341256367,0.7422662678446935,0.8093145892878062
13,1,3,"Pr(N+ | Infec., mAb)",0.4734848484848485,0.4140685416327604,0.5336617311127585
13,1,3,"Pr(N+ | sympt., Plac.)",0.8380681818181818,0.7959690777205045,0.8728681083363524
13,1,3,"Pr(N+ | sympt., mAb)",0.6021505376344086,0.5005311962132275,0.6956657656187837
13,1,3,"Pr(N+ | asympt., Plac.)",0.6877637130801688,0.6261669580519944,0.743370747108064
13,1,3,"Pr(N+ | asympt., mAb)",0.40350877192982454,0.33287780523148075,0.47837977507821783
13,1,3,PE for infec.,0.5517826825127334,0.5019807289426166,0.5979461454515267
13,1,3,PE for sympt. infec.,0.7357954545454546,0.6759435397205491,0.7853681322722266
13,1,3,PE for asympt. infec.,0.2784810126582279,0.1449205059869908,0.3918012973078375
13,1,3,RR for sympt. | infec.,0.5894563533057852,0.4914555232502978,0.6989751409220024
13,1,3,RR for N+ | infec.,0.6089139208680694,0.5291981527100619,0.6921246075846527
